KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
473812,Problemkarte,L-TopImg,Lagerreaktionen (leicht),Bestimme die Lagerreaktionen und prüfe die statische Bestimmtheit des dargestellten Balkens.,Gegeben: zwei Kräfte $F$; Moment $M_1$; links Festlager; rechts Loslager,Gesucht: Anzahl der Lagerreaktionen und Grad $f$ der statischen Unbestimmtheit,Wahr,{},1,1,,"70,230,123",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_2/problem.png""}"
182639,Lagerreaktionskarte,L-TopImg,Linkes Auflager,Linkes Auflager mit einer Reaktionskraft $A_y$,Festlager: $A_x = 0$ wegen fehlender horizontaler Belastung,,Wahr,"{""baustoffe"": 2}",1,1,,"65,225,118",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_2/lager_l_wahr.png""}"
294857,Lagerreaktionskarte,L-TopImg,Rechtes Auflager,Rechtes Auflager mit einer Reaktionskraft $B_y$,Loslager: nur vertikale Reaktion möglich,,Wahr,"{""baustoffe"": 2}",1,1,,"65,225,118",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_2/lager_r_wahr.png""}"
361472,Lagerreaktionskarte,L-TopImg,Linkes Auflager,Linkes Auflager mit Reaktionskräften $A_x$; $A_y$ und Moment $M_z$,Festlager mit Momentenreaktion,,Falsch,"{""baustoffe"": 2}",1,1,,"65,225,118",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_2/lager_l_falsch.png""}"
548903,Lagerreaktionskarte,L-TopImg,Rechtes Auflager,Rechtes Auflager mit Reaktionskräften $B_x$; $B_y$ und Moment $M_z$,Loslager wie eine feste Einspannung,,Falsch,"{""baustoffe"": 2}",1,1,,"65,225,118",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_2/lager_r_falsch.png""}"
673514,Rechenschrittkarte,L-TopImg,Grad der statischen Unbestimmtheit,Grad der statischen Unbestimmtheit eines ebenen Systems,Anzahl der Reaktionskomponenten und Gelenke berücksichtigen,,Wahr,"{""baustoffe"": 1}",1,1,$f = 3n - (r+v)$,"60,220,113",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""formula"", ""latex"": ""f = 3n - (r+v)""}"
754128,Rechenschrittkarte,L-TopImg,Grad der statischen Unbestimmtheit,Grad der statischen Unbestimmtheit eines ebenen Systems,Berücksichtigung der Stäbe und Schnittgrößen,,Falsch,"{""baustoffe"": 1}",1,1,$f = 2n - (r+s)$,"60,220,113",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""formula"", ""latex"": ""f = 2n - (r+s)""}"
839056,Rechenschrittkarte,L-TopImg,Grad der statischen Unbestimmtheit,Grad der statischen Unbestimmtheit,Vertauschte Rollen von $n$ und den Reaktionskomponenten,,Falsch,"{""baustoffe"": 1}",1,1,$f = 3(v+r) - n$,"60,220,113",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""formula"", ""latex"": ""f = 3(v+r) - n""}"
927341,Rechenschrittkarte,L-TopImg,Statische Bestimmtheit prüfen,Für den gegebenen Balken,$n = 1$; $r = 2 + 1$; $v = 0$,,Wahr,"{""baustoffe"": 2}",1,1,$f = 3 - (2+1+0) = 0$,"60,220,113",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""formula"", ""latex"": ""f = 3\\cdot 1 - (2+1+0) = 0""}"
105627,Rechenschrittkarte,L-TopImg,Statische Bestimmtheit prüfen,Für ein zweigliedriges System,$n = 2$; $r = 2 + 3$; $v = 1$,,Falsch,"{""baustoffe"": 2}",1,1,$f = 6 - (2+3+1) = 0$,"60,220,113",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""formula"", ""latex"": ""f = 3\\cdot 2 - (2+3+1) = 0""}"
214739,Ergebniskarte,L-TopImg,Ergebnis,Der Grad der statischen Unbestimmtheit ist $f = 0$,Das System ist statisch bestimmt,Notwendige Bedingung erfüllt,Wahr,{},1,1,$f = 0$,"75,235,128",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""formula"", ""latex"": ""f = 0""}"
320548,Lösungskarte,L-TopImg,Lösungsweg Lagerreaktionen,"Richtige Karten: 182639, 294857, 673514, 927341, 214739",Lösungsweg: Lagerreaktionen links/rechts → Grad der statischen Unbestimmtheit → Ergebnis,,Wahr,{},0,1,,"70,230,123",Lager_2,Lager_2,Wissenschaftskommunikation.pdf,"{""type"": ""none""}"
